,score
337765,40.15302727877578
205597,60.02658985153999
2346,45.75964630225081
274960,58.305742664687756
153065,64.45526475958613
161882,50.66204287515763
5716,72.59863492591975
40270,61.164406218987764
372,50.81391046984831
66589,40.758711954124394
123123,32.90203327171904
1115,60.07480130902291
284108,54.088050314465406
149951,34.60076045627377
174785,40.663694898464584
42,36.21418172779888
240271,12.774869109947645
96007,43.70199692780338
259081,57.091722595078295
193738,0.758591390187018
340325,34.70550981633945
31105,74.47007481296758
281259,33.61732703756929
21348,46.24505928853755
242639,51.34228187919463
171273,61.97199670549477
266507,14.380557202133964
22545,41.1240575736806
494,71.22681281618887
244513,57.82991202346041
4396,73.17456163308034
199383,52.922802320392684
66505,60.26123095190976
22877,28.841607565011824
3076,97.62048471788172
195539,39.74306964164976
122842,49.529964747356054
62219,30.85281847288251
299684,42.69592476489028
1345,55.60816326530612
72321,55.32651455546813
46396,56.08718766613503
144041,52.66821345707656
148729,43.544530783024506
230933,52.32753785754347
75165,50.556680161943326
365104,51.72932330827068
310873,22.96448087431694
193558,49.28684627575277
179460,41.37728075338434
216092,54.27034297242771
295895,24.190614769006913
284818,41.53678869155491
295293,31.905037637521716
185589,54.44819819819819
165872,30.13605442176871
206051,58.905165767154976
233961,65.85365853658537
72225,50.48717948717949
254386,48.31325301204819
286096,39.07663017610661
37380,68.33748960931005
38545,64.5866454689984
231696,71.25725338491296
160851,69.32163952031502
146439,36.17529880478087
41863,62.45883644346871
244271,25.817307692307693
285905,18.60730593607306
318983,41.539196940726576
4098,30.968938340287437
77423,38.63445024414885
193728,27.680311890838205
209010,26.524964672633068
127398,53.40042200941406
281549,34.61538461538461
27746,99.58983155497717
254708,20.86428089128967
191597,50.93681917211329
350205,25.36842105263158
157809,62.64090177133655
199792,25.189279382625923
154825,30.253475061324615
83330,48.272552783109404
1897,64.96033245183226
34635,41.93661287186467
129051,66.83168316831683
218804,54.35791645177927
311715,39.13294797687861
85325,70.85931146652209
295607,46.642685851318944
142992,64.98614958448753
297486,53.23411562678878
192074,65.9155659155659
183006,67.29166666666667
214396,62.31477773327994
142852,49.00835073068894
33160,45.76789290608201
298638,50.371103414151406
1353,47.221251310730516
45,64.52688904016337
198487,50.588235294117645
254591,50.15521064301552
35677,49.64577341367019
271055,21.21212121212121
244521,1.2988629682332056
301880,29.924874791318867
9823,29.855293221629854
224517,12.376408086969354
38765,57.338663620788125
274364,30.525731210662716
214484,34.552102376599635
47185,51.66944908180301
294484,25.357142857142854
255692,44.901408450704224
811,76.5389483373605
17223,61.48648648648649
258444,65.40832049306626
254,37.70992366412214
198454,61.81987000928505
188547,42.995839112343965
229220,41.54582149798176
319910,21.364744110479286
310192,48.77384196185286
15512,69.63475769873479
248490,37.687576875768755
1499,38.76560332871012
350736,46.41319942611191
191977,60.767622461170845
27833,39.55555555555556
266164,37.07256046705588
98351,53.538678579826005
290359,28.1981160741416
75358,71.77954847277557
281655,16.450511945392492
70149,34.73625660517289
349067,14.285714285714285
246784,42.83553875236295
332321,59.56032719836401
323612,26.790450928381965
8051,62.48473748473749
251661,7.718373493975903
