,1,2,3,4,5,6,7,8,9,10
17223,37,95,157,312,526,"1,285","1,426","1,237",398,299
258444,3,2,18,48,119,539,992,742,101,32
254,6,16,31,24,56,158,256,345,222,196
198454,11,25,62,123,348,"1,186","1,672","1,480",349,129
188547,5,5,15,29,76,279,546,769,291,148
229220,14,14,28,73,206,757,"1,743","2,904",730,220
319910,3,4,5,7,22,67,167,492,329,135
310192,1,2,14,23,68,269,535,689,139,95
15512,25,78,185,516,"1,499","5,547","7,023","4,915",855,302
248490,10,8,23,49,120,467,896,"1,744",519,229
1499,11,15,22,41,83,181,254,328,237,270
350736,0,1,3,6,26,192,423,565,123,55
191977,16,35,74,166,406,"1,363","2,134","2,042",352,108
27833,31,35,65,143,330,"1,224","2,308","3,882","1,524",583
266164,2,5,8,17,53,262,557,982,363,149
98351,9,22,37,96,245,770,"1,166","1,426",340,142
290359,8,7,15,35,69,245,579,"1,473",606,254
75358,5,16,31,103,284,866,909,673,98,27
281655,12,8,18,26,31,66,118,349,347,490
70149,47,24,65,149,307,"1,117","2,174","4,317","1,813",774
349067,4,3,2,12,18,62,162,587,489,439
246784,16,39,88,206,483,"1,673","3,303","5,291","1,559",567
332321,3,6,10,48,89,417,611,585,107,80
323612,18,13,33,43,114,394,762,"2,140",926,458
8051,10,27,57,148,382,"1,345","2,219","1,877",354,133
251661,29,8,13,10,30,61,104,337,595,"1,469"
206084,2,6,6,17,56,294,514,521,101,58
330174,0,0,6,11,49,244,460,500,71,25
135382,24,36,81,139,218,619,862,"1,011",440,224
351526,4,8,16,28,68,240,382,798,227,95
291572,29,59,118,164,248,557,826,"1,733","1,276","1,094"
12002,14,23,69,188,475,"1,742","2,762","2,387",440,169
180040,2,5,24,58,164,714,"1,046",889,158,48
33604,16,31,69,229,591,"1,663","1,777","1,381",286,109
113636,2,1,7,40,94,331,588,521,113,18
102548,20,66,121,248,469,"1,628","1,889","1,646",383,186
122522,70,221,523,"1,252","2,410","6,790","7,450","5,647","1,501",852
29603,10,1,9,21,25,77,222,592,544,312
34219,15,39,101,271,728,"3,026","5,573","5,935","999,999",424
172385,5,3,13,39,108,380,732,802,"999,999",37
331106,46,17,38,50,62,164,284,841,692,705
318546,5,2,0,5,11,88,169,342,186,148
118048,24,23,69,163,477,"2,142","5,522","10,039","2,722",874
244536,13,25,74,130,330,"1,114","1,602","1,371",333,159
182631,21,9,13,42,138,652,"1,804","3,287","1,213",659
326945,1,2,2,2,8,36,98,416,285,171
2808,4,2,12,31,90,243,418,443,187,99
100901,24,59,191,441,"1,128","4,370","7,329","7,678","1,783",691
246192,9,12,54,139,348,"1,594","3,480","4,651","1,011",378
171131,58,74,176,286,714,"2,645","4,697","7,593","2,874","1,262"
283317,3,11,22,36,57,163,260,463,254,151
183880,9,27,25,79,214,904,"1,423","1,224",211,84
40765,18,20,46,104,210,684,"1,216","2,122",846,441
63628,16,32,58,163,398,"1,453","2,661","3,766",928,327
137408,11,12,30,81,229,764,"1,601","2,485",668,213
13884,5,23,54,114,171,491,638,732,223,98
291845,1,4,12,23,66,273,660,"1,263",328,121
9446,10,48,111,262,620,"1,438","1,500","1,232",349,170
102435,0,3,2,12,26,99,156,394,239,105
85005,3,13,39,84,196,654,823,633,108,49
253608,1,5,11,13,55,120,300,658,270,86
58936,5,8,18,33,67,207,383,512,185,84
5206,9,17,45,75,260,663,825,622,240,158
189932,10,8,24,66,168,619,"1,538","3,513","1,620",718
209778,61,108,221,549,"1,186","4,400","6,470","5,663","1,328",472
245422,5,7,4,26,48,215,458,685,221,109
227515,3,3,6,25,76,329,730,"1,163",210,66
111417,3,4,20,70,178,630,895,632,99,37
92319,3,5,33,67,198,601,867,731,132,46
194517,16,8,18,42,83,222,381,843,355,243
256382,41,94,329,616,"1,132","3,879","5,397","5,009","1,274",742
306882,3,0,5,9,29,137,381,523,144,70
31497,3,10,48,85,266,880,"1,163",789,124,33
325494,21,12,11,14,27,81,166,431,695,924
146312,4,7,17,61,187,757,"1,267","1,130",258,124
229265,1,9,12,31,79,271,496,939,231,96
41002,12,22,46,96,197,690,"1,292","1,660",373,117
105037,2,7,33,77,228,676,993,951,175,51
190082,5,4,23,23,121,425,932,"1,592",468,173
224597,10,13,31,45,119,313,601,932,493,293
37628,7,16,56,114,311,904,"1,284","1,242",298,120
36522,6,8,22,47,120,458,660,531,83,35
316554,"999,999",62,143,221,472,"1,582","3,753","12,472","11,134","7,661"
192945,0,3,7,27,73,318,596,505,92,23
356123,5,16,27,48,89,346,671,"1,454",694,397
245931,4,0,20,28,70,262,400,516,109,51
169654,31,82,157,410,860,"3,709","5,126","3,886",840,357
37907,3,2,5,32,90,349,650,558,84,16
300531,17,28,47,99,285,968,"2,104","4,429","1,681",701
14996,78,"999,999","999,999",664,"1,996","8,754","20,494","28,183","8,347","3,660"
128671,27,63,97,193,391,"1,156","1,874","2,825","1,199",732
38863,3,4,14,37,89,426,639,697,126,41
178336,4,6,21,62,175,699,"1,265","1,316",246,83
3072,5,8,23,43,105,"999,999","999,999",508,214,150
315610,34,7,10,18,43,106,237,807,532,329
195544,8,11,36,99,269,"1,101","1,467",855,135,34
310448,2,4,5,12,38,181,339,607,226,134
270970,5,10,13,59,140,614,"1,547","1,783",364,129
196526,5,7,15,41,113,476,873,"1,230",330,95
311193,3,7,26,49,141,526,"1,268","2,837",984,329
26566,11,9,26,71,181,624,"1,150","1,471",263,83
16267,5,14,39,100,261,"1,021","1,167",638,90,34
329839,5,8,15,59,152,699,"1,485","2,564",769,272
9217,35,57,126,315,693,"2,389","4,550","5,582","1,466",578
134352,39,49,106,219,371,984,"1,280","1,396",500,281
72287,15,31,61,208,529,"2,304","2,906","2,012",362,138
5404,21,17,54,133,348,"1,390","2,800","3,316",800,263
551,8,11,27,86,203,678,"1,027","1,030",297,159
230080,7,12,44,122,346,"1,425","2,265","1,721",241,76
303672,4,8,23,54,175,533,634,554,113,43
136888,29,29,87,168,393,"1,481","2,966","4,660","1,207",456
290236,10,17,68,153,421,"1,630","3,001","3,662",836,394
257499,29,56,103,160,301,869,"1,588","3,023","1,566",891
105,9,31,64,212,552,"1,946","2,465","1,582",285,99
272533,4,8,27,40,95,300,503,680,259,129
67239,9,13,"999,999","999,999","999,999","999,999","999,999",609,134,"999,999"
186751,15,8,20,38,70,171,340,821,768,805
97903,8,40,87,214,467,"1,993","2,366","1,871",342,120
244228,12,14,44,179,"999,999","999,999","3,103","2,800",417,176
159503,2,23,32,73,"999,999",613,967,"999,999",266,93
254713,1,13,14,30,79,342,583,791,157,51
347013,5,5,14,48,117,410,744,658,89,24
127997,3,3,10,55,207,686,788,546,91,32
137297,11,45,94,255,603,"2,159","2,794","1,860",263,80
245654,11,30,58,183,520,"2,216","4,029","3,925",877,350
344554,3,6,11,22,36,149,299,456,150,58
3228,6,5,18,61,156,626,839,732,144,35
113873,5,9,16,22,52,185,326,634,314,166
318472,3,2,1,3,12,32,76,212,218,202
193214,16,19,57,153,273,"1,118","1,790","1,708",339,156
175549,4,13,27,72,155,440,637,580,198,131
204472,12,19,45,78,250,709,"1,210","1,731",559,295
126792,11,10,42,109,258,871,"1,569","1,955",479,198
163839,21,46,66,92,166,431,536,"1,141",645,487
91312,12,50,82,218,500,"1,777","3,005","3,151",935,545
306881,3,3,9,12,59,242,680,"1,115",378,128
245476,11,18,76,154,395,"1,441","2,077","1,696",322,134
298383,10,11,26,51,80,313,652,"1,398",484,157
202426,23,22,62,79,157,474,749,"1,438",812,646
155873,15,9,16,31,82,277,762,"1,834",889,418
17405,14,5,19,36,55,213,453,"1,114",625,291
188920,59,60,129,215,425,"1,184","2,126","4,252","2,367","1,512"
359438,9,4,4,10,24,75,203,769,445,160
2398,31,58,109,322,751,"2,019","2,611","2,223",876,758
1032,9,11,31,64,167,402,497,493,197,166
221965,20,36,116,255,725,"2,620","4,781","4,625",966,327
221194,31,46,125,207,559,"1,688","3,390","6,286","2,245",954
113401,12,12,34,86,333,"1,477","1,726",952,163,81
181810,7,17,57,161,519,"1,705","1,927","1,089",205,84
248125,17,11,15,25,42,151,282,500,215,128
303551,2,1,2,2,16,33,107,269,197,103
156091,7,12,21,59,140,495,759,"1,014",275,120
87890,12,16,39,"999,999",194,640,"1,181","1,873",445,176
2122,10,18,52,101,183,427,500,525,282,319
