,score
337765,59.347970725216236
205597,38.289386217593616
2346,53.0144694533762
274960,41.11770750085626
153065,34.53033069588152
161882,48.108448928121064
5716,25.170634260029967
40270,35.99073767780351
372,48.399926008139104
66589,58.49139832377591
123123,65.00308071472581
1115,34.47405329593268
284108,44.45754716981132
149951,63.80228136882129
174785,58.22189202575533
42,62.28029684337606
240271,86.38743455497382
96007,54.14746543778802
259081,39.01565995525727
193738,99.20796564707757
340325,63.647878404053195
31105,23.78428927680798
281259,65.64873742557997
21348,52.66798418972331
242639,47.281879194630875
171273,36.72196729026944
266507,84.4457617071725
22545,57.593263487711745
494,26.07504215851602
244513,41.46627565982405
4396,25.255168803978016
199383,45.87237840249889
66505,38.21492182861667
22877,68.32151300236407
3076,2.340170348448874
195539,58.999323867478026
122842,47.88484136310223
62219,67.31832735034443
299684,56.39498432601881
1345,41.9265306122449
72321,43.65066876475217
46396,41.67995746943116
144041,44.872389791183295
148729,55.43933054393305
230933,45.51318003365115
75165,47.97570850202429
365104,47.744360902255636
310873,76.35245901639345
193558,49.44532488114105
179460,56.97469099470277
216092,43.81304640215198
295895,74.68170243724991
284818,57.23088075389634
295293,66.18413433700057
185589,44.34121621621622
165872,68.36734693877551
206051,39.57851452068877
233961,33.15266485998193
72225,46.61538461538461
254386,50.53012048192771
286096,57.80845100216828
37380,30.27431421446384
38545,33.78378378378378
231696,27.195357833655702
160851,29.658134956148203
146439,62.677290836653384
41863,34.65056714233443
244271,73.4375
285905,79.68036529680366
318983,57.74378585086042
4098,66.92628650904034
77423,59.70702138407139
193728,69.98050682261209
209010,72.46820536975977
127398,44.09457339176541
281549,63.178733031674206
27746,0.4002418127618769
254708,78.05536799459824
191597,47.79956427015251
350205,72.84210526315789
157809,35.73089998210771
199792,74.02440296172698
154825,67.94766966475879
83330,49.084600620109256
1897,32.16849263316963
34635,57.24479875559012
129051,31.435643564356436
218804,44.198040226921094
311715,60.17341040462427
85325,26.24017348875034
295607,52.39808153477218
142992,33.29639889196676
297486,45.392100744132804
192074,33.43693343693344
183006,32.202380952380956
214396,36.60392470965158
142852,49.634655532359076
33160,53.27289975756299
298638,48.490846115784265
1353,49.825235931492486
45,33.50578624914908
198487,48.529411764705884
254591,48.73614190687361
35677,50.33380280018515
271055,77.11598746081505
244521,2.9193774190891872
301880,69.30300500834724
9823,67.66945925361767
224517,86.16508436224113
38765,40.49114791547687
274364,68.81710477600889
214484,63.98537477148081
47185,46.51085141903172
294484,73.8961038961039
255692,54.22535211267606
811,20.866413531239214
17223,33.5065835065835
258444,33.705701078582436
254,58.2442748091603
198454,36.3602599814299
