id,price
337765,$55.00
205597,$22.99
2346,$31.80
274960,$16.99
153065,-1
161882,-1
5716,-1
40270,$146.00
372,$14.99
66589,$135.33
123123,$119.99
1115,$16.99
284108,$39.95
149951,$64.26
174785,-1
42,-1
240271,$85.82
96007,-1
259081,$49.95
193738,$44.95
340325,$60.16
31105,-1
281259,$34.99
21348,-1
242639,-1
171273,$24.06
266507,$89.99
22545,-1
494,-1
244513,$25.50
4396,-1
199383,-1
66505,-1
22877,-1
3076,$98.00
195539,$100.48
122842,-1
62219,$66.00
299684,$34.07
1345,$46.98
72321,-1
46396,-1
144041,-1
148729,$29.99
230933,-1
75165,-1
365104,$29.99
310873,$60.77
193558,$112.31
179460,-1
216092,$14.99
295895,$73.09
284818,$42.19
295293,$149.99
185589,-1
165872,$74.63
206051,$22.95
233961,-1
72225,-1
254386,$115.56
286096,$70.97
37380,$37.72
38545,-1
231696,$28.99
160851,$30.70
146439,-1
41863,$84.89
244271,$177.83
285905,$77.56
318983,$47.75
4098,-1
77423,$74.99
193728,-1
209010,-1
127398,$42.50
281549,$66.99
27746,-1
254708,$169.99
191597,-1
350205,$138.50
157809,$45.22
199792,$65.00
154825,-1
83330,$87.99
1897,-1
34635,$46.49
129051,-1
218804,-1
311715,$25.99
85325,-1
295607,$29.46
142992,-1
297486,$39.95
192074,-1
183006,-1
214396,-1
142852,$34.99
33160,$68.08
298638,$31.95
1353,$19.99
45,$31.06
198487,$21.17
254591,$49.99
35677,-1
271055,-1
244521,$39.99
301880,$48.24
9823,-1
224517,$79.95
38765,-1
274364,$28.99
214484,-1
47185,$122.99
294484,$38.97
255692,$59.55
811,$15.97
17223,-1
258444,$24.36
254,-1
198454,$29.99
188547,-1
229220,$59.99
319910,-1
310192,$39.10
15512,$26.09
248490,$59.97
1499,-1
350736,-1
191977,-1
27833,$29.98
266164,$49.99
98351,$35.37
290359,$31.95
75358,-1
281655,-1
70149,$69.99
349067,$55.99
246784,$28.04
332321,$24.75
323612,$59.90
8051,-1
251661,$649.99
206084,-1
330174,$24.99
135382,-1
351526,$52.76
291572,$90.00
12002,$125.00
180040,-1
33604,$22.99
113636,$60.00
102548,-1
122522,$27.78
29603,$89.95
34219,-1
172385,-1
331106,$98.95
318546,-1
118048,$19.95
244536,$23.98
182631,$16.95
326945,-1
2808,-1
100901,$49.95
246192,$50.37
171131,$70.00
283317,-1
183880,$68.50
40765,-1
63628,-1
137408,-1
13884,-1
291845,-1
9446,-1
102435,-1
85005,-1
253608,-1
58936,-1
5206,-1
189932,$38.50
209778,-1
245422,$29.45
227515,$27.95
111417,-1
92319,$49.99
194517,$40.00
256382,$34.99
306882,$13.65
31497,-1
325494,$153.95
